ceo	8d665a6f-569d-4fa3-b8c0-2746663a5c96	CEO
hermes-agent	e982acf1-ee07-4829-80bc-868f27c24836	Hermes Agent
librarian-worker	23106146-861c-4cde-be9e-8df1df7c8802	Librarian Worker
operations-coordinator	bca7022e-7cb3-42c8-8019-cf83685ecad1	Operations Coordinator
sales-director	df7468e0-2afd-4ece-b4cb-dd1b2a184a34	Sales Director
sales-lead	c6b73388-b823-46bb-92f8-ba48380b8860	Sales Lead
web-design-ecommerce-lead	f4d57240-bd8a-4a9d-ba78-8d08b21ade83	Web Design / Ecommerce Lead
automation-operator	725398b1-ceb2-4b2b-8d2b-708863e59667	Automation Operator
b2b-sales-lead	244f8068-ff17-4390-995e-b36f732f9505	B2B Sales Lead
commercial-finance-lead	1c7d37db-e4eb-4998-9dd4-76d89b90bf3e	Commercial Finance Lead
creative-direction-approval	4bb0e7e3-48f6-452c-8574-b2403c6f0565	Creative Direction Approval
customer-service-lead	3369b7fe-eb43-4801-af0a-75505c221dcc	Customer Service Lead
customer-success-implementation-lead	63231ee3-2e1d-453d-99fb-4acddf060eb4	Customer Success / Implementation Lead
data-reporting-operator	93c5a241-4928-4db2-87f6-767c2aa7273e	Data / Reporting Operator
design-lead	087ea495-8b1d-49b1-8d13-aef88a8a40ad	Design Lead
ecommerce-operations-lead	46d661e4-ef78-41bc-85eb-6eaa82aa466c	Ecommerce Operations Lead
finance-collections-lead	2ae12dc0-fdb7-4a74-a15f-fd8a54a6993a	Finance / Collections Lead
industrial-director	d4769b92-4a2f-4f78-b595-453b76dcf091	Industrial Director
inventory-planner	4e6aa5ad-6870-46ce-a707-9b05c0227588	Inventory Planner
legal-ip-corporate-affairs-lead	596542ac-deee-44b0-893d-e98744331e98	Legal / IP / Corporate Affairs Lead
market-research-directory-research-lead	d00d3c58-ba08-4e94-a009-165380b73e19	Market Research / Directory Research Lead
marketing-lead	8b459ff1-ec61-4f8c-9f4b-ea034c416be4	Marketing Lead
packaging-designer	9846b4f2-d317-4861-ae33-fd78c97f931b	Packaging Designer
procurement-lead	71f1d87a-3c33-4e38-8559-18d4a07ab0c4	Procurement Lead
product-catalog-lead	dbe8b08f-8366-4213-a091-ac518bcd795e	Product Catalog Lead
production-planning-and-technical-lead	92e74804-d78f-4185-b5cc-8ff166778402	Production Planning & Technical Lead
quality-and-certification-lead	764bd076-ae12-4a6e-9d5e-e77db0cc64f6	Quality & Certification Lead
supplier-factory-liaison	b2cccc49-11f5-4afa-a049-10cdd9853902	Supplier / Factory Liaison
tax-accounting-lead	93730f2f-580f-45c1-9983-9a67680ca098	Tax / Accounting Lead
tech-pack-product-development-lead	dde90c61-ede5-4689-bc44-55b012c1f17f	Tech Pack / Product Development Lead
template-production-designer	d605e41e-eea6-435d-a413-81b0e05d9620	Template / Production Designer
knitwear-technical-specialist	f1a17b2a-4a99-4623-9e89-d5cd87d02509	Knitwear Technical Specialist
warehouse-lead	f8f8b910-a297-47dc-808b-8a62c4b53a3e	Warehouse Lead
billing-subscription-operations-lead	363e5725-3f64-4d5b-958d-ce204f1967cd	Billing / Subscription Operations Lead
customs-compliance-lead	14e1dcb5-5f87-4013-8e63-9530aa0b30ea	Customs / Compliance Lead
factory-sourcing-lead	7b437d3a-19ef-455d-aca5-1c07429e838a	Factory Sourcing Lead
